url,name,language,description,instructors,learns,level,time
https://www.coursera.org/professional-certificates/ibm-it-project-manager,IBM IT Project Manager Professional Certificate,Taught in English,Prepare for career as an IT project manager. Develop in-demand skills and hands-on experience to get job ready in less than 3 months. No prior experience required,John Rofrano,"Master the most up-to-date practical skills and tools IT project managers use in their daily roles,Learn Agile concepts of adaptive planning, iterative development, and continuous improvement leading to early deliveries and high customer value,Track and manage projects, including addressing difficult client situations and how activities shift throughout the project management lifecycle,Apply your new skills to real-world projects and hands-on labs",Beginner level,4 months at 10 hours a week
https://www.coursera.org/professional-certificates/meta-ios-developer,Meta iOS Developer Professional Certificate,Taught in English,Launch your career as an iOS developer. Build job-ready skills for an in-demand career and earn a credential from Meta. No degree or prior experience required to get started. ,Taught by Meta Staff,"Gain the skills required for an entry-level career as an iOS developer.,Learn how to create applications for iOS systems and how to manage the lifecycle of a mobile app. ,Learn programming fundamentals, how to create a user interface (UI) and best practices for designing the UI.  ,Create a portfolio with projects that show your ability to publish, deploy and maintain iOS apps as well as cross-platform apps using React Native.
",Beginner level,8 months at 7 hours a week
https://www.coursera.org/professional-certificates/meta-android-developer,Meta Android Developer Professional Certificate,Taught in English,Launch your career as an Android app developer. Build job-ready skills for an in-demand career and earn a credential from Meta. No degree or prior experience required to get started. ,Taught by Meta Staff,"Gain the skills required for an entry-level career as an Android developer. ,Learn how to create applications for Android including how to build and manage the lifecycle of a mobile app using Android Studio.,Learn coding in Kotlin and the programming fundamentals for how to create the user interface (UI) and best practices for design.   ,Create cross-platform mobile applications using React Native. Demonstrate your new skills by creating a job-ready portfolio you can show during interviews.",Beginner level,8 months at 7 hours a week
https://www.coursera.org/professional-certificates/devops-and-software-engineering,IBM DevOps and Software Engineering Professional Certificate,Taught in English,"Launch your DevOps and Software Engineering Career. Master DevOps, Agile, Scrum, CI/CD and Cloud Native with hands-on job-ready skills.",John Rofrano,"Develop  a DevOps mindset, practice Agile philosophy & Scrum methodology -  essential to succeed in the era of Cloud Native Software Engineering,Create applications using Python  language, using various programming constructs and logic, including functions, REST APIs, and  libraries,Build applications composed of microservices and deploy using containers (e.g. Docker, Kubernetes, and OpenShift) & serverless technologies,Employ tools for automation, continuous integration (CI) and continuous deployment (CD) including Chef, Puppet, GitHub Actions, Tekton and  Travis. ",Beginner level,3 months at 10 hours a week
https://www.coursera.org/professional-certificates/microsoft-cybersecurity-analyst,Microsoft Cybersecurity Analyst Professional Certificate,Taught in English,Launch your career as a cybersecurity analyst. Build job-ready skills for an in-demand career in the field of cybersecurity in as little as 6 months. No prior experience required to get started., Microsoft,"Understand the cybersecurity landscape and learn core concepts foundational to security, compliance, and identity solutions.,Understand the vulnerabilities of an organizations network and mitigate attacks on network infrastructures to protect data.,Develop and implement threat mitigation strategies by applying effective cybersecurity measures within an Azure environment.   ,Demonstrate your new skills with a capstone project and prepare for the industry-recognized Microsoft SC-900 Certification exam.   ",Beginner level,6 months at 10 hours a week
https://www.coursera.org/professional-certificates/google-ux-design,Google UX Design Professional Certificate,Taught in English,"This is your path to a career in UX design. In this program, you’ll learn in-demand skills that will have you job-ready in less than 6 months. No degree or experience required.",Google Career Certificates,"Follow the design process: empathize with users, define pain points, ideate solutions, create wireframes and prototypes, test and iterate on designs,Understand the basics of UX research, like planning research studies, conducting interviews and usability studies, and synthesizing research results,Apply foundational UX concepts, like user-centered design, accessibility, and equity-focused design,Create a professional UX portfolio that includes 3 end-to-end projects: a mobile app, a responsive website, and a cross-platform experience",Beginner level,6 months at 10 hours a week
https://www.coursera.org/professional-certificates/ibm-cybersecurity-analyst,IBM Cybersecurity Analyst Professional Certificate,Taught in English,"Get ready to launch your career in cybersecurity. Build job-ready skills for an in-demand role in the field, no degree or prior experience required.",IBM Skills Network Team,"Develop knowledge of cybersecurity analyst tools including data protection; endpoint protection; SIEM; and systems and network fundamentals.   ,Learn about key compliance and threat intelligence topics important in today’s cybersecurity landscape. ,Gain skills for incident responses and forensics with real-world cybersecurity case studies.,Get hands-on experience to develop skills via industry specific and open source Security tools.",Beginner level,4 months at 10 hours a week
https://www.coursera.org/professional-certificates/google-it-support,Google IT Support Professional Certificate,Taught in English,"This is your path to a career in IT. In this program, you’ll learn in-demand skills that will have you job-ready in less than 6 months. No degree or experience required. ",Google Career Certificates,"Gain skills required to succeed in an entry-level IT job,Learn to perform day-to-day IT support tasks including computer assembly, wireless networking, installing programs, and customer service,Learn how to provide end-to-end customer support, ranging from identifying problems to troubleshooting and debugging,Learn to use systems including Linux, Domain Name Systems, Command-Line Interface, and Binary Code",Beginner level,6 months at 10 hours a week
https://www.coursera.org/professional-certificates/meta-front-end-developer,Meta Front-End Developer Professional Certificate,Taught in English,Launch your career as a front-end developer. Build job-ready skills for an in-demand career and earn a credential from Meta. No degree or prior experience required to get started. ,Taught by Meta Staff,"Create a responsive website using HTML to structure content, CSS to handle visual style, and JavaScript to develop interactive experiences. ,Learn to use React in relation to Javascript libraries and frameworks.,Learn Bootstrap CSS Framework to create webpages and work with GitHub repositories and version control.,Prepare for a coding interview, learn best approaches to problem-solving, and build portfolio-ready projects you can share during job interviews.",Beginner level,7 months at 6 hours a week
https://www.coursera.org/professional-certificates/meta-back-end-developer,Meta Back-End Developer Professional Certificate,Taught in English,Launch your career as a back-end developer. Build job-ready skills for an in-demand career and earn a credential from Meta. No degree or prior experience required to get started.,Taught by Meta Staff,"Gain the technical skills required to become a qualified back-end developer,Learn to use programming systems including Python Syntax, Linux commands, Git, SQL, Version Control, Cloud Hosting, APIs, JSON, XML and more,Build a portfolio using your new skills and begin interview preparation including tips for what to expect when interviewing for engineering jobs,Learn in-demand programming skills and how to confidently use code to solve problems",Beginner level,8 months at 6 hours a week
https://www.coursera.org/professional-certificates/ibm-full-stack-cloud-developer,IBM Full Stack Software Developer Professional Certificate,Taught in English,Prepare for a career as a full stack developer. Gain the in-demand skills and hands-on experience to get job-ready in less than 4 months. No prior experience required. ,IBM Skills Network Team,"Master the most up-to-date practical skills and tools that full stack developers use in their daily roles,Learn how to deploy and scale applications using Cloud Native methodologies and tools such as Containers, Kubernetes, Microservices, and Serverless,Develop software with front-end development languages and tools such as HTML, CSS, JavaScript, React, and Bootstrap,Build your GitHub portfolio by applying your skills to multiple labs and hands-on projects, including a capstone",Beginner level,4 months at 10 hours a week
